,file,realNumber,add_len,total_len,sparse_trans,dense_trans,gpos,gquat,init_n,pred_n
97,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736299.json,tensor([24]),tensor([0]),24,22,0,0.4598538,0.10424912,18,24
98,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736424.json,tensor([53]),tensor([0]),53,58,0,0.9867108,0.15111533,43,60
99,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736468.json,tensor([76]),tensor([0]),76,62,0,1.2167091,0.10552394,55,64
100,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002736895.json,tensor([56]),tensor([0]),56,56,0,0.54645884,0.12802386,39,58
101,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002737010.json,tensor([53]),tensor([0]),53,35,0,0.9254265,0.17281318,26,37
102,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002737414.json,tensor([84]),tensor([0]),84,78,0,1.9180161,0.18708721,60,80
103,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002737469.json,tensor([51]),tensor([0]),51,45,0,0.6607343,0.107001014,27,47
104,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002737515.json,tensor([20]),tensor([0]),20,15,0,0.43447134,0.10049514,11,17
105,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002737751.json,tensor([51]),tensor([0]),51,57,0,0.9527447,0.07153714,37,59
106,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002737931.json,tensor([40]),tensor([0]),40,42,0,1.046852,0.21623984,42,44
107,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738011.json,tensor([48]),tensor([0]),48,60,0,1.0409678,0.13926043,38,62
108,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738066.json,tensor([59]),tensor([0]),59,66,0,0.9721132,0.14323662,46,68
109,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738370.json,tensor([39]),tensor([0]),39,32,0,1.3859386,0.21616694,28,34
110,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738550.json,tensor([20]),tensor([0]),20,41,0,1.3160743,0.08551297,31,43
111,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738561.json,tensor([56]),tensor([0]),56,47,0,0.6001565,0.17661816,21,49
112,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738628.json,tensor([49]),tensor([0]),49,49,0,0.48070058,0.095677294,27,51
113,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002738820.json,tensor([28]),tensor([0]),28,26,0,0.42215085,0.083949715,12,28
114,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002739203.json,tensor([40]),tensor([0]),40,55,0,1.0555241,0.14454228,33,57
115,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002739247.json,tensor([31]),tensor([0]),31,30,0,1.102881,0.069624424,30,32
